SampleAccessionNumber	DataSetAccesionNumber	SampleType	CancerType	Outliers
GSM1416292.CEL.gz	GSM1416292	GSE58644	Cancer	Luminal B	NA
GSM1416293.CEL.gz	GSM1416293	GSE58644	Cancer	Luminal A	NA
GSM1416294.CEL.gz	GSM1416294	GSE58644	Cancer	Her2	NA
GSM1416295.CEL.gz	GSM1416295	GSE58644	Cancer	Luminal A	NA
GSM1416296.CEL.gz	GSM1416296	GSE58644	Cancer	Luminal A	NA
GSM1416297.CEL.gz	GSM1416297	GSE58644	Cancer	Luminal A	NA
GSM1416298.CEL.gz	GSM1416298	GSE58644	Cancer	Her2	NA
GSM1416299.CEL.gz	GSM1416299	GSE58644	Cancer	Luminal A	NA
GSM1416300.CEL.gz	GSM1416300	GSE58644	Cancer	Luminal B	NA
GSM1416301.CEL.gz	GSM1416301	GSE58644	Cancer	Luminal A	NA
GSM1416302.CEL.gz	GSM1416302	GSE58644	Cancer	Luminal B	NA
GSM1416303.CEL.gz	GSM1416303	GSE58644	Cancer	TNBC	Yes
